"General Settings","Général"
"Enable Launcher","Activer"
"Index Actions","Indexer les actions"
"Index Configuration","Indexer la configuration"
"Index Navigation Menu","Indexer le menu"
"Index Products","Indexer les produits"
"<span style=""color:red"">Attention!</span> Thousands of products will drastically slow down performances.","<span style=""color:red"">Attention !</span> Des milliers de produits pourraient ralentir considérablement les performances."
"Index Categories","Indexer les catégories"
"Index Customers","Indexer les clients"
"<span style=""color:red"">Attention!</span> Thousands of customers will drastically slow down performances.","<span style=""color:red"">Attention !</span> Des milliers de clients pourraient ralentir considérablement les performances."
"Index Orders","Indexer les commandes"
"<span style=""color:red"">Attention!</span> Thousands of orders will drastically slow down performances.","<span style=""color:red"">Attention !</span> Des milliers de commandes pourraient ralentir considérablement les performances."
"Index Product Attributes","Indexer les attributs produit"
"Index Promotions","Indexer les promotions"
"Launcher Settings","Paramètres du launcher"
"Min Chars","Nombre de caractères minimum"
"Max Results","Nombre maximum de résultats"
"0 or empty means unlimited.","0 ou vide signifie illimité."
"Hotkey","Raccourci clavier"
"Code of keydown event needed, default is 32 (spacebar). <a href=""http://www.w3.org/2002/09/tests/keys.html"" target=""_blank"">List of key codes</a>","Code de l'événement ""keydown"" requis, par défaut c'est 32 (barre espace). <a href=""http://www.w3.org/2002/09/tests/keys.html"" target=""_blank"">Liste des codes</a>"
"Reset On Hide","Réinitialiser la recherche"
"Reset input field when launcher disappears.","Réinitialise le champ texte à chaque fois que le launcher disparaît."
"Use Scope","Utiliser les scopes"
"Allow to scope search with predefined scopes (config, menu, product, ...).","Permet d'utiliser des scopes prédéfinis pour faciliter la recherche (config, menu, product, etc)."
"Show Icon","Afficher les icônes"
"Show icons in search results.","Affiche des icônes dans les résultats de recherche."
"Show Scope","Afficher le scope"
"Show scope in search results. For example: <strong>[Menu] Catalog > Manage Products</strong> becomes <strong>Catalog > Manage Products</strong> if disabled.","Affiche le scope dans les résultats de recherche. Par exemple : <strong>[Menu] Catalogue > Gérer les produits</strong> devient <strong>Catalogue > Gérer les produits</strong> si ce paramètre est désactivé."
"Show Text","Afficher le texte"
"Show text under title in search results. For example: <strong>Config > Developer > CSS Settings > Merge CSS Files</strong>.","Affiche le texte en dessous du titre dans les résultats de recherche. Par exemple : <strong>Config > Développeur > Paramètres CSS > Fusionner les fichiers CSS</strong>."
"Catalog Rule","Promo catalogue"
"Shopping Cart Rule","Promo panier"
"Clear Magento Cache","Vider le cache Magento"
"Clear Config Cache","Vider le cache de configuration"
"Clear Layouts Cache","Vider le cache d'agencement"
"Clear HTML Blocks Cache","Vider le cache des blocs HTML"
"Clear Translations Cache","Vider le cache des traductions"
"Reindex All","Tout réindexer"
"action","action"
"config","config"
"menu","menu"
"product","produit"
"category","catégorie"
"customer","client"
"order","commande"
"promo","promo"
"attribute","attribut"
"Full overview available","Aperçu complet disponible"
"here","ici"
"Bubble Launcher is an intuitive and powerful keystroke launcher for Magento Admin Panel.","Bubble Launcher est un lanceur pour l'admin Magento."
"http://www.bubblecode.net/en/2013/03/25/a-powerful-launcher-for-magento-admin-panel/","http://www.bubblecode.net/2013/03/25/un-lanceur-pour-l-admin-magento/"